Optimal solution:
Tout[fork3,mux2_plin] = 3.6470000000000136
Tout[fork3,mux1_plin] = 3.647000000000003
Tout[source0,constant4] = 0.0
Tout[constant4,extsi9] = 0.0
Tout[extsi9,subi1_plin] = 0.5410000000000106
Tout[source1,constant8] = 0.0
Tout[constant8,extsi10] = 0.0
Tout[extsi10,cmpi1_plin] = 1.37649999999987
Tout[source2,constant9] = 0.0
Tout[constant9,extsi11] = 0.0
Tout[extsi11,addi1_plin] = 0.3529999999999389
Tout[mc_load0_plout,muli0_plin] = 4.0
Tout[subi1_plout,extsi12] = 2.588
Tout[extsi12,mc_load1_plin] = 2.588
Tout[mc_load1_plout,muli0_plin] = 4.0
Tout[muli0_plout,addi0_plin] = 0.35299999999998977
Tout[addi0_plout,cond_br2] = 3.6470000000000047
Tout[addi1_plout,fork4] = 1.3764999999998913
Tout[fork4,trunci0] = 3.6470000000000424
Tout[fork4,cmpi1_plin] = 1.376499999999881
Tout[trunci0,cond_br0] = 3.6470000000000287
Tout[cmpi1_plout,fork5] = 3.1844999999998223
Tout[fork5,cond_br0] = 3.6470000000000287
Tout[fork5,cond_br2] = 3.6470000000000047
Tout[fork5,cond_br3] = 3.1844999999998054
Tout[cond_br0,mux2_plin] = 3.6470000000000145
Tout[cond_br0,sink0] = 0.0
Tout[cond_br2,mux1_plin] = 3.647000000000003
Tout[cond_br2,return1_plin] = 0.0
Tout[cond_br3,control_merge2] = 3.1844999999997885
Tout[cond_br3,sink1] = 0.0
Tout[return1_plout,end0_plin] = 0.0
Tout[mc_load0_plin,mc_load0_plout] = 0.0
Tout[mc_load1_plin,mc_load1_plout] = 0.0
Tout[muli0_plin,muli0_plout] = 0.0
Tout[mux2_plin,mux2_plout] = 0.0
Tout[mux1_plin,mux1_plout] = 0.0
Tout[subi1_plin,subi1_plout] = 1.5645000000000033
Tout[addi0_plin,addi0_plout] = 1.4964999999999855
Tout[addi1_plin,addi1_plout] = 0.8647499999999212
Tout[cmpi1_plin,cmpi1_plout] = 2.280499999999854
Tout[return1_plin,return1_plout] = 0.706
Tout[end0_plin,end0_plout] = 1.0
Objective value: 0.49989999999999996
